users_id,posts_id
1,11
1,5
1,29
1,24
1,46
1,41
1,4
1,26
1,48
1,25
1,36
1,38
1,30
1,19
2,10
2,23
2,27
2,1
2,25
2,38
2,37
2,20
3,41
3,35
3,7
3,48
3,9
3,16
3,29
3,40
3,25
3,18
3,15
3,39
4,37
4,30
4,50
4,10
4,26
4,14
4,18
4,28
4,48
4,8
5,24
5,5
5,38
5,8
5,47
5,45
5,42
5,31
5,9
5,3
5,39
5,29
5,33
5,26
5,1
5,23
5,28
5,12
5,44
5,10
6,3
6,10
6,11
6,32
6,15
6,33
6,4
6,50
6,5
6,12
6,24
6,45
6,2
6,9
6,25
6,31
6,8
6,46
6,1
6,20
6,23
6,35
6,49
7,43
7,18
7,41
7,24
7,35
7,22
7,7
7,34
7,12
7,36
7,14
7,29
8,5
8,30
8,27
8,1
8,18
8,41
8,39
8,28
8,47
8,14
8,36
8,44
8,37
8,4
8,48
8,32
8,34
8,7
8,38
8,9
8,50
9,11
9,42
9,1
9,38
9,49
9,27
9,33
9,13
9,21
9,17
9,6
9,2
9,4
9,29
9,15
9,22
9,24
9,5
10,31
10,19
10,28
10,23
10,38
10,18
10,43
10,20
10,44
10,48
10,26
10,36
10,4
10,27
10,21
10,2
10,25
10,47
10,35
10,32
10,11
10,3
10,2
10,12
10,14
11,29
11,37
11,15
11,50
11,6
